number,base_fee_per_gas
14688578,91681357455
14688579,82409102248
14688580,84881150201
14688581,80230276340
14688582,71377907611
14688583,70149473358
14688584,65017893118
14688585,58686474637
14688586,56254999585
14688587,58530503275
14688588,53397090363
14688589,52938628227
14688590,59550164822
14688591,66988115388
14688592,68378534666
14688593,63414188090
14688594,71338679218
14688595,80249574020
14688596,90274838097
14688597,83973429933
14688598,84456039230
14688599,76136598554
14688600,82190191828
14688601,88058421614
14688602,81054897158
14688603,73148261698
14688604,74739881313
14688605,73711288022
14688606,72540811738
14688607,66748747101
14688608,63097497015
14688609,57942682848
14688610,58498073230
14688611,65805224522
14688612,73197180778
14688613,70541059430
14688614,64008151396
14688615,57917464285
14688616,57399953402
14688617,64570930632
14688618,71340363510
14688619,66498752242
14688620,69085212343
14688621,77719548964
14688622,73944961765
14688623,66141115524
14688624,59198405216
14688625,65352415213
14688626,62832405949
14688627,70663004976
14688628,73761829775
14688629,70542008452
14688630,72578387523
14688631,69080298554
14688632,61629287766
14688633,61823058977
14688634,64829397362
14688635,66965358529
14688636,74131819321
14688637,68117071256
14688638,76624299134
14688639,67046261743
14688640,69237283102
14688641,77886169225
14688642,87609767396
14688643,76658546472
14688644,69903371721
14688645,64402228602
14688646,62209624675
14688647,69984509182
14688648,78636991980
14688649,70792193184
14688650,79633569214
14688651,72356779083
14688652,81382903782
14688653,74482838687
14688654,73043089761
14688655,67233553444
14688656,70975654915
14688657,65248288046
14688658,69624432001
14688659,62554067583
14688660,56444735520
14688661,60108988154
14688662,55871936541
14688663,57123002617
14688664,56380681591
14688665,63293677047
14688666,64474515837
14688667,56966167756
14688668,63538246814
14688669,71476203857
14688670,80399321944
14688671,72541088526
14688672,71668554642
14688673,68678098198
14688674,69307131376
14688675,63973783047
14688676,71289049486
14688677,78157402673
14688678,70955842816
14688679,66772039161
14688680,67909225413
14688681,60980134200
14688682,65642896403
14688683,57864665569
14688684,65093375712
14688685,68431192943
14688686,76981052382
14688687,76889254866
14688688,69958294043
14688689,78701580192
14688690,76794600396
14688691,74738354439
14688692,81613815932
14688693,71412088941
14688694,63138469988
14688695,60560742978
14688696,56668003897
14688697,63747068223
14688698,71705601766
14688699,73510949835
14688700,73619849822
14688701,82818953122
14688702,80058409002
14688703,71391210923
14688704,67234177756
14688705,75636431267
14688706,83688928222
14688707,75096495302
14688708,67996545176
14688709,76490201006
14688710,86038882657
14688711,75284022325
14688712,69442504191
14688713,66666820750
14688714,74995772075
14688715,82064504710
14688716,92309733121
14688717,88678710998
14688718,93076460106
14688719,87161694331
14688720,81070466873
14688721,72630177330
14688722,81698422347
14688723,91896992596
14688724,90069357578
14688725,82068654166
14688726,92320316865
14688727,93865002276
14688728,84095734135
14688729,76778101350
14688730,71456821646
14688731,73878393292
14688732,83080783849
14688733,77157597522
14688734,72346268829
14688735,66429165073
14688736,72934887086
14688737,63925284853
14688738,71910773648
14688739,80898375697
14688740,91009316937
14688741,102369948538
14688742,107251710103
14688743,109795915036
14688744,103455120977
14688745,116378166516
14688746,125912494535
14688747,140239935539
14688748,129024236228
14688749,131353307591
14688750,124612036309
14688751,109899668023
14688752,109412396661
14688753,105553647550
14688754,104775624809
14688755,113866850192
14688756,101439354699
14688757,114106131863
14688758,107221403372
14688759,99549511066
14688760,90522938790
14688761,101838100199
14688762,100220153532
14688763,107001032899
14688764,106488867105
14688765,119786098218
14688766,134740738748
14688767,123585086932
14688768,139026482255
14688769,144027411101
14688770,141550002981
14688771,148731005966
14688772,149183665092
14688773,151549545215
14688774,141475135619
14688775,135333941423
14688776,146434719246
14688777,148050860394
14688778,156890569293
14688779,143222675463
14688780,135061057454
14688781,127697770602
14688782,136235096570
14688783,127600635356
14688784,111650555937
14688785,102320533594
14688786,103025868905
14688787,90147635292
14688788,92384419553
14688789,86289498360
14688790,97067394858
14688791,99896407903
14688792,112368742265
14688793,113891739989
14688794,103598274763
14688795,104817356194
14688796,96071251568
14688797,104900956148
14688798,117206249166
14688799,107282555255
14688800,95001183715
14688801,92882345004
14688802,95268872490
14688803,86935126325
14688804,97800243482
14688805,106644391070
14688806,102117581198
14688807,111364575332
14688808,125265924794
14688809,126440646865
14688810,118620706950
14688811,126769798276
14688812,136690567745
14688813,134803721282
14688814,127578819376
14688815,120171819077
14688816,132932985718
14688817,131564977901
14688818,117414609763
14688819,110877638141
14688820,101036006864
14688821,100918179111
14688822,103131281980
14688823,116015741179
14688824,117216290437
14688825,131850037093
14688826,126926042506
14688827,142784136774
14688828,142642259317
14688829,160454958035
14688830,173251825261
14688831,176912864323
14688832,198768557216
14688833,200587253425
14688834,194913106110
14688835,187827075613
14688836,180872346137
14688837,203480070324
14688838,220359476304
14688839,207501480663
14688840,186307160115
14688841,205973447019
14688842,219561696212
14688843,246925166024
14688844,255092461599
14688845,223887734163
14688846,251869128759
14688847,226583741253
14688848,203485822993
14688849,228907997015
14688850,226190788349
14688851,254437093549
14688852,228324524492
14688853,256846872988
14688854,260049586082
14688855,234678409750
14688856,241411960655
14688857,271571981382
14688858,274622928498
14688859,259302714835
14688860,259172019785
14688861,227872968725
14688862,220634679661
14688863,194374910199
14688864,184711396099
14688865,179284592214
14688866,158925863114
14688867,158266494277
14688868,160400707401
14688869,164733180200
14688870,160261134183
14688871,179728533995
14688872,172790996638
14688873,166647841851
14688874,187454914796
14688875,190585363447
